id,product_name,price,category,origin_price,stock
001,AppleFresh (Brand: AppleFresh),60.0,Fruit,60.0,0
002,BananaBunch (Brand: BananaBunch),30.0,Fruit,30.0,75
003,OrangeFarm (Brand: OrangeFarm),50.0,Fruit,50.0,0
004,Amul Milk (Brand: Amul),50.0,Dairy,50.0,80
005,Balaji Bread (Brand: Balaji Wafers),40.0,Bakery,40.0,27
006,India Rice (Brand: India Rice),70.0,Staples,70.0,150
007,Tata Tea Powder (Brand: Tata Tea),150.0,Staples,150.0,120
008,Amul Butter (Brand: Amul),80.0,Dairy,80.0,60
009,Mother Dairy Spices (Brand: Mother Dairy),120.0,Spices,120.0,90
010,Balaji Chips (Brand: Balaji Wafers),20.0,Snacks,20.0,200
011,Red Apple (Brand: FreshFruits),65.0,Fruit,65.0,50
012,Plantain (Brand: GreenGold),35.0,Fruit,35.0,70
013,Juicy Oranges (Brand: CitrusCo),55.0,Fruit,55.0,40
014,Full Cream Milk (Brand: Amul),55.0,Dairy,55.0,100
015,Wheat Bread (Brand: WonderBread),45.0,Bakery,45.0,25
016,Basmati Rice (Brand: RoyalRice),80.0,Staples,80.0,120
017,Green Tea Powder (Brand: Lipton),160.0,Staples,160.0,80
018,Butter Spread (Brand: Amul),85.0,Dairy,85.0,60
019,Organic Spices (Brand: SpiceWorld),130.0,Spices,130.0,90
020,Potato Chips (Brand: Lay's),25.0,Snacks,25.0,200
021,Strawberries (Brand: BerryFarm),75.0,Fruit,75.0,35
022,Golden Bananas (Brand: FruitJoy),35.0,Fruit,35.0,75
023,Fresh Lemons (Brand: CitrusFresh),40.0,Fruit,40.0,60
024,Low Fat Milk (Brand: Amul),55.0,Dairy,55.0,100
025,Multigrain Bread (Brand: HealthyBake),45.0,Bakery,45.0,25
026,Long Grain Rice (Brand: PureRice),85.0,Staples,85.0,130
027,Black Tea (Brand: Tetley),160.0,Staples,160.0,80
028,Cheddar Cheese (Brand: Amul),90.0,Dairy,90.0,70
029,Garlic Powder (Brand: SpiceKing),110.0,Spices,110.0,90
030,Tomato Chips (Brand: Lay's),28.0,Snacks,28.0,180
031,Blueberries (Brand: BerryFresh),85.0,Fruit,85.0,20
032,Plantains (Brand: TropiFruit),38.0,Fruit,38.0,50
033,Navel Oranges (Brand: CitrusGold),58.0,Fruit,58.0,25
034,Skimmed Milk (Brand: Amul),52.0,Dairy,52.0,40
035,Whole Wheat Bread (Brand: GrainBake),48.0,Bakery,48.0,30
036,White Rice (Brand: RoyalHarvest),78.0,Staples,78.0,60
037,Green Tea Bags (Brand: Lipton),170.0,Staples,170.0,50
038,Butter Cheese (Brand: Amul),85.0,Dairy,85.0,35
039,Turmeric Powder (Brand: SpiceWorld),125.0,Spices,125.0,45
040,Nacho Chips (Brand: Doritos),22.0,Snacks,22.0,150
